Instance,N,Capacity,MaxWeight,Avg_Simple_Result,Avg_Simple_Time,Avg_Prob_Result,Avg_Prob_Time,Optimal_Percentage,Avg_Time_Ratio,Avg_Percentage_Diff
test_items_1000_run1,1000,20200,100,54269,.1177,54269,.0803,100.00,1.4657,N/A
test_items_1000_run2,1000,20200,100,58546,.1270,58546,.1084,100.00,1.1715,N/A
test_items_1000_run3,1000,20200,100,53813,.1342,53813,.1128,100.00,1.1897,N/A
test_items_1000_run4,1000,20200,100,55271,.1369,55271,.0906,100.00,1.5110,N/A
test_items_1000_run5,1000,20200,100,54607,.1232,54607,.0973,100.00,1.2661,N/A
test_items_2000_run1,2000,40400,100,111025,.5179,111025,.3721,100.00,1.3918,N/A
test_items_2000_run2,2000,40400,100,110088,.5231,110088,.4641,100.00,1.1271,N/A
test_items_2000_run3,2000,40400,100,105695,.5647,105695,.4108,100.00,1.3746,N/A
test_items_2000_run4,2000,40400,100,109873,.5035,109873,.4531,100.00,1.1112,N/A
test_items_2000_run5,2000,40400,100,113546,.5065,113546,.4457,100.00,1.1364,N/A
test_items_3000_run1,3000,60600,100,161997,1.1740,161997,1.0151,100.00,1.1565,N/A
test_items_3000_run2,3000,60600,100,164768,1.1585,164768,1.0304,100.00,1.1243,N/A
test_items_3000_run3,3000,60600,100,168797,.9089,168797,.9833,100.00,.9243,N/A
test_items_3000_run4,3000,60600,100,163443,1.0970,163443,1.0428,100.00,1.0519,N/A
test_items_3000_run5,3000,60600,100,161294,1.1140,161294,.9968,100.00,1.1175,N/A
test_items_4000_run1,4000,80800,100,218125,2.0483,218125,1.6948,100.00,1.2085,N/A
test_items_4000_run2,4000,80800,100,219256,2.1473,219256,1.7079,100.00,1.2572,N/A
test_items_4000_run3,4000,80800,100,218429,2.6293,218429,1.5986,100.00,1.6447,N/A
test_items_4000_run4,4000,80800,100,216566,1.9729,216565,1.7274,80.00,1.1421,0
test_items_4000_run5,4000,80800,100,221320,2.2609,221320,1.3282,100.00,1.7022,N/A
test_items_5000_run1,5000,101000,100,274844,3.0685,274844,2.1381,100.00,1.4351,N/A
test_items_5000_run2,5000,101000,100,271476,3.0115,271476,2.4261,100.00,1.2412,N/A
test_items_5000_run3,5000,101000,100,270535,3.3361,270535,1.9887,100.00,1.6775,N/A
test_items_5000_run4,5000,101000,100,273732,3.6277,273732,2.9014,100.00,1.2503,N/A
test_items_5000_run5,5000,101000,100,271772,3.7390,271772,2.4363,100.00,1.5347,N/A
